epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1362.1,1.18046,0.69159,1.20527,0.91717,0.8672,0.94519,0.61972,1.17677,0.69633,1.18107,0.0011882,0.0011882,0.0011882
43,1394.13,1.15432,0.67535,1.17447,0.91935,0.89453,0.9605,0.63183,1.15512,0.65033,1.16271,0.0011684,0.0011684,0.0011684
44,1426.44,1.18296,0.67415,1.20326,0.93163,0.90342,0.96244,0.6377,1.13545,0.61303,1.18019,0.0011486,0.0011486,0.0011486
45,1458.67,1.15475,0.66873,1.18579,0.93556,0.87643,0.95693,0.64786,1.123,0.66897,1.14643,0.0011288,0.0011288,0.0011288
46,1490.6,1.15727,0.67109,1.18469,0.91517,0.87726,0.95924,0.62734,1.15115,0.66137,1.17307,0.001109,0.001109,0.001109
47,1523.23,1.14882,0.66724,1.18665,0.91655,0.86186,0.95054,0.59417,1.2215,0.67962,1.19242,0.0010892,0.0010892,0.0010892
48,1555.15,1.15878,0.67981,1.17972,0.93289,0.86519,0.95139,0.59365,1.19769,0.64504,1.19611,0.0010694,0.0010694,0.0010694
49,1587.02,1.14773,0.68965,1.16543,0.94096,0.89788,0.96596,0.63896,1.1381,0.61522,1.15478,0.0010496,0.0010496,0.0010496
50,1619.6,1.1317,0.64145,1.16616,0.92342,0.88732,0.9609,0.65467,1.08941,0.60602,1.14939,0.0010298,0.0010298,0.0010298
51,1651.68,1.11289,0.7182,1.1521,0.94341,0.87211,0.95901,0.62611,1.15299,0.62793,1.17347,0.00101,0.00101,0.00101
52,1683.51,1.1349,0.65958,1.19238,0.91796,0.90054,0.96081,0.61724,1.1889,0.61438,1.16363,0.0009902,0.0009902,0.0009902
53,1715.33,1.11836,0.63082,1.16225,0.93826,0.90946,0.97172,0.6501,1.13147,0.60189,1.1467,0.0009704,0.0009704,0.0009704
54,1748.17,1.11699,0.63332,1.16167,0.92724,0.89749,0.96856,0.65475,1.09573,0.60047,1.13428,0.0009506,0.0009506,0.0009506
